"Solvent","InChIKey","Volume","δd","δp","δh","δt"
"Entity[""Chemical"", ""BenzylAlcohol""]","WVDDGKGOMKODPV-UHFFFAOYSA-N","Quantity[103.6, ""Centimeters""^3/""Moles""]","Quantity[18.4, Sqrt[""Megapascals""]]","Quantity[6.3, Sqrt[""Megapascals""]]","Quantity[13.7, Sqrt[""Megapascals""]]","Quantity[23.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""BenzylBenzoate""]","SESFRYSPDFLNCH-UHFFFAOYSA-N","Quantity[190.3, ""Centimeters""^3/""Moles""]","Quantity[20., Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[5.2, Sqrt[""Megapascals""]]","Quantity[21.28497122384712, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""BenzylButylPhthalate""]","IRIAEXORFWYRCZ-UHFFFAOYSA-N","Quantity[306., ""Centimeters""^3/""Moles""]","Quantity[19., Sqrt[""Megapascals""]]","Quantity[11.3, Sqrt[""Megapascals""]]","Quantity[3.1, Sqrt[""Megapascals""]]","Quantity[22.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""BenzylEther""]","MHDVGSVTJDSBDK-UHFFFAOYSA-N","Quantity[192.7, ""Centimeters""^3/""Moles""]","Quantity[17.4, Sqrt[""Megapascals""]]","Quantity[3.7, Sqrt[""Megapascals""]]","Quantity[7.4, Sqrt[""Megapascals""]]","Quantity[19.2, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Biphenyl""]","ZUOUZKKEUPVFJK-UHFFFAOYSA-N","Quantity[154.1, ""Centimeters""^3/""Moles""]","Quantity[21.5, Sqrt[""Megapascals""]]","Quantity[1., Sqrt[""Megapascals""]]","Quantity[2., Sqrt[""Megapascals""]]","Quantity[21.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bis2ChloroisopropylEther""]","BULHJTXRZFEUDQ-UHFFFAOYSA-N","Quantity[146., ""Centimeters""^3/""Moles""]","Quantity[19., Sqrt[""Megapascals""]]","Quantity[8.2, Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[21.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bromobenzene""]","QARVLSVVCXYDNA-UHFFFAOYSA-N","Quantity[105.3, ""Centimeters""^3/""Moles""]","Quantity[20.5, Sqrt[""Megapascals""]]","Quantity[5.5, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[21.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bromochloromethane""]","JPOXNPPZZKNXOV-UHFFFAOYSA-N","Quantity[65., ""Centimeters""^3/""Moles""]","Quantity[17.4, Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[3.5, Sqrt[""Megapascals""]]","Quantity[18.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bromoethane""]","RDHPKYGYEGBMSE-UHFFFAOYSA-N","Quantity[76.9, ""Centimeters""^3/""Moles""]","Quantity[16.6, Sqrt[""Megapascals""]]","Quantity[8., Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[19., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bromoform""]","DIKBFYAXUHHXCS-UHFFFAOYSA-N","Quantity[87.5, ""Centimeters""^3/""Moles""]","Quantity[21.5, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[6.1, Sqrt[""Megapascals""]]","Quantity[22.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bromotrifluoromethane""]","RJCQBQGAPKAMLL-UHFFFAOYSA-N","Quantity[97., ""Centimeters""^3/""Moles""]","Quantity[9.6, Sqrt[""Megapascals""]]","Quantity[2.5, Sqrt[""Megapascals""]]","Quantity[0., Sqrt[""Megapascals""]]","Quantity[10., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Butoxypropanol""]","IDQBJILTOGBZCR-UHFFFAOYSA-N","Quantity[132., ""Centimeters""^3/""Moles""]","Quantity[15.3, Sqrt[""Megapascals""]]","Quantity[4.5, Sqrt[""Megapascals""]]","Quantity[9.2, Sqrt[""Megapascals""]]","Quantity[18.41140950606444, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""ButylAcetate""]","DKPFZGUDAPQIHT-UHFFFAOYSA-N","Quantity[132.5, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[3.7, Sqrt[""Megapascals""]]","Quantity[6.3, Sqrt[""Megapascals""]]","Quantity[17.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Butylamine""]","HQABUPZFAYXKJW-UHFFFAOYSA-N","Quantity[99., ""Centimeters""^3/""Moles""]","Quantity[16.2, Sqrt[""Megapascals""]]","Quantity[4.5, Sqrt[""Megapascals""]]","Quantity[8., Sqrt[""Megapascals""]]","Quantity[18.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""ButylBenzoate""]","XSIFPSYPOVKYCO-UHFFFAOYSA-N","Quantity[178.1, ""Centimeters""^3/""Moles""]","Quantity[18.3, Sqrt[""Megapascals""]]","Quantity[5.6, Sqrt[""Megapascals""]]","Quantity[5.5, Sqrt[""Megapascals""]]","Quantity[19.912307751739878, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""ButylLactate""]","MRABAEUHTLLEML-UHFFFAOYSA-N","Quantity[149., ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[6.5, Sqrt[""Megapascals""]]","Quantity[10.2, Sqrt[""Megapascals""]]","Quantity[19.8, Sqrt[""Megapascals""]]"
